grid_id,building_count,mean_score,high_potential_ratio,high_potential_building_count,total_footprint_area_m2,mean_height_proxy_m,building_density_per_km2,footprint_density_m2_per_km2
395,14,49.56556667551318,0.7857142857142857,11,41893.681758982355,9.0,56.0,167574.72703592942
522,9,48.59351476845545,0.7777777777777778,7,19891.229601214694,9.0,36.0,79564.91840485878
1068,22,47.32872531735932,0.7727272727272727,17,60238.56967052508,9.0,88.0,240954.27868210032
317,39,52.67774806788889,0.7692307692307693,30,17659.300205615968,64.67948717948718,156.0,70637.20082246387
707,13,47.17549353034261,0.7692307692307693,10,17500.29020071812,9.0,52.0,70001.16080287247
436,13,50.51146679512858,0.7692307692307693,10,47666.935003909886,9.0,52.0,190667.74001563955
1075,13,48.57648729253746,0.7692307692307693,10,26355.26183286001,9.0,52.0,105421.04733144004
848,26,47.039761458736244,0.7692307692307693,20,32966.29421020994,9.173076923076923,104.0,131865.17684083976
750,51,46.86248469762113,0.7647058823529411,39,52617.50024778957,14.03921568627451,204.0,210470.00099115827
560,42,48.238112627747135,0.7619047619047619,32,60599.57196821617,10.595238095238095,168.0,242398.2878728647
1096,25,46.81485072386219,0.76,19,29818.20377927226,9.0,100.0,119272.81511708903
1648,20,49.15522739146157,0.75,15,27715.892518348417,10.15,80.0,110863.57007339367
808,12,52.594845215477484,0.75,9,16092.0101382264,30.416666666666668,48.0,64368.0405529056
1273,12,49.99161413180807,0.75,9,20753.151377753053,9.5,48.0,83012.60551101221
1215,8,49.907625883384036,0.75,6,12684.361647848145,9.5625,32.0,50737.44659139258
1457,8,47.88595763000436,0.75,6,12294.556863056649,9.0,32.0,49178.227452226594
227,16,48.87918026227856,0.75,12,29133.609024668105,9.46875,64.0,116534.43609867242
1109,8,49.78772088994598,0.75,6,18135.747775664982,9.0,32.0,72542.99110265993
1413,4,54.46624183388699,0.75,3,23357.823197436905,9.375,16.0,93431.29278974762
1007,4,47.23680742564847,0.75,3,5739.436128188101,9.25,16.0,22957.744512752404
1115,12,50.35680849186834,0.75,9,21114.65382533108,17.416666666666668,48.0,84458.61530132432
1320,24,48.79087156081129,0.75,18,17425.060141586204,19.3125,96.0,69700.24056634482
709,4,56.03913164040293,0.75,3,30078.05641283628,13.25,16.0,120312.22565134511
